source,target,grade_source,grade_target,source_node,target_node,granger_causes,lag,p_value,adjusted_p_value,test_statistic,n_observations,r2_restricted,r2_augmented
101,103,low2,low2,M101_low2,M103_low2,True,4,2.1638627753395312e-05,8.352812950960988e-05,6.753746343959483,1704,0.020872831545592052,0.03623338668681719
101,103,med1,low2,M101_med1,M103_low2,True,4,0.010043049235562651,0.022813840238808985,3.327749326009057,1704,0.020872831545592052,0.028502097598537612
101,103,med2,low2,M101_med2,M103_low2,False,4,0.4257474947640886,0.6492061246126434,0.9647016814803603,1704,0.020872831545592052,0.02309683184991751
102,103,low1,low2,M102_low1,M103_low2,True,4,0.0006031848576902865,0.0017432358190839694,4.921527970733621,1704,0.020872831545592052,0.03211407672290789
102,103,low2,low2,M102_low2,M103_low2,True,4,0.0006840095792657319,0.001936273270536841,4.851428733964829,1704,0.020872831545592052,0.031955775653540464
102,103,med1,low2,M102_med1,M103_low2,True,4,1.546522909734449e-10,1.0285308990041155e-09,13.13241130597982,1704,0.020872831545592052,0.050304780198697996
102,103,med2,low2,M102_med2,M103_low2,True,4,1.9041409883291394e-06,8.211608012169413e-06,8.073734909448689,1704,0.020872831545592052,0.03917940564439115
103,103,low1,low2,M103_low1,M103_low2,False,4,0.6614473316184426,0.9127973176334508,0.6017049490322167,1704,0.020872831545592052,0.022261174413359508
103,103,med1,low2,M103_med1,M103_low2,True,4,3.329486134162618e-05,0.00012252508973718435,6.518440126588613,1704,0.020872831545592052,0.03570631973266092
103,103,med2,low2,M103_med2,M103_low2,True,4,0.013934723191220022,0.030645287655591442,3.137250155106508,1704,0.020872831545592052,0.02806856498571353
104,103,low1,low2,M104_low1,M103_low2,True,4,0.0018001887734414579,0.004800503395843887,4.308978402650589,1704,0.020872831545592052,0.03072903836564822
104,103,low2,low2,M104_low2,M103_low2,True,4,6.24298598534967e-05,0.0002223308557363237,6.174301525242445,1704,0.020872831545592052,0.03493443808457353
104,103,med1,low2,M104_med1,M103_low2,True,4,5.259126467649367e-13,4.207301174119493e-12,16.17313858304886,1704,0.020872831545592052,0.0568690272375173
104,103,med2,low2,M104_med2,M103_low2,True,4,1.7013081832217836e-08,9.298238783548758e-08,10.614280429801427,1704,0.020872831545592052,0.04479913214316644
105,103,low1,low2,M105_low1,M103_low2,True,4,0.0,0.0,29.36121275840003,1704,0.020872831545592052,0.08431942103850842
